Time,Heart Rate,Steps,Phase
00:00:00,75,0,Inactive
00:01:00,73,0,Inactive
00:02:00,79,0,Inactive
00:03:00,74,0,Inactive
00:04:00,74,0,Inactive
00:05:00,72,0,Inactive
00:06:00,75,0,Inactive
00:07:00,75,0,Inactive
00:08:00,78,0,Inactive
00:09:00,76,0,Inactive
00:10:00,79,0,Inactive
00:11:00,77,0,Inactive
00:12:00,75,0,Inactive
00:13:00,75,0,Inactive
00:14:00,71,0,Inactive
00:15:00,71,0,Inactive
00:16:00,73,0,Inactive
00:17:00,73,0,Inactive
00:18:00,77,0,Inactive
00:19:00,75,0,Inactive
00:20:00,78,0,Inactive
00:21:00,78,0,Inactive
00:22:00,78,0,Inactive
00:23:00,75,0,Inactive
00:24:00,76,0,Inactive
00:25:00,76,0,Inactive
00:26:00,77,0,Inactive
00:27:00,74,0,Inactive
00:28:00,84,0,Inactive
00:29:00,89,12,Inactive
00:30:00,93,2,Inactive
00:40:00,97,0,Inactive
00:41:00,85,0,Inactive
00:42:00,77,0,Inactive
00:43:00,85,36,Inactive
00:44:00,84,2,Inactive
00:45:00,77,0,Inactive
00:46:00,75,0,Inactive
00:47:00,76,0,Inactive
00:48:00,76,0,Inactive
00:49:00,74,0,Inactive
00:50:00,74,0,Inactive
00:51:00,82,0,Inactive
00:52:00,73,0,Inactive
00:53:00,74,0,Inactive
00:54:00,74,11,Inactive
00:55:00,77,2,Inactive
00:56:00,74,0,Inactive
00:57:00,76,0,Inactive
00:58:00,72,0,Inactive
00:59:00,72,0,Inactive
01:00:00,72,0,Inactive
01:01:00,74,0,Inactive
01:02:00,71,0,Inactive
01:03:00,70,0,Inactive
01:04:00,72,0,Inactive
01:05:00,67,0,Inactive
01:06:00,69,0,Inactive
01:07:00,68,0,Inactive
01:08:00,68,0,Inactive
01:09:00,69,0,Inactive
01:10:00,68,0,Inactive
01:11:00,68,0,Inactive
01:12:00,68,0,Inactive
01:13:00,68,0,Inactive
01:14:00,67,0,Inactive
01:15:00,68,0,Inactive
01:16:00,69,0,Inactive
01:17:00,69,0,Inactive
01:18:00,69,0,Inactive
01:19:00,70,0,Inactive
01:20:00,70,0,Inactive
01:21:00,70,0,Inactive
01:22:00,71,0,Inactive
01:23:00,71,0,Inactive
01:24:00,71,0,Inactive
01:25:00,71,0,Inactive
01:26:00,72,0,Inactive
01:27:00,72,0,Inactive
01:28:00,72,0,Inactive
01:29:00,71,0,Inactive
01:30:00,72,0,Inactive
01:31:00,72,0,Inactive
01:32:00,71,0,Inactive
01:33:00,73,0,Inactive
01:34:00,73,0,Inactive
01:35:00,74,0,Inactive
01:36:00,75,0,Inactive
01:37:00,82,0,Inactive
01:38:00,73,0,Inactive
01:39:00,76,0,Inactive
01:40:00,71,0,Inactive
01:41:00,70,0,Inactive
01:42:00,69,0,Inactive
01:43:00,70,0,Inactive
01:44:00,70,0,Inactive
01:45:00,69,0,Inactive
01:46:00,70,0,Inactive
01:47:00,70,0,Inactive
01:48:00,70,0,Inactive
01:49:00,71,0,Inactive
01:50:00,70,0,Inactive
01:51:00,70,0,Inactive
01:52:00,70,0,Inactive
01:53:00,70,0,Inactive
01:54:00,70,0,Inactive
01:55:00,70,0,Inactive
01:56:00,70,0,Inactive
01:57:00,71,0,Inactive
01:58:00,79,0,Inactive
01:59:00,72,0,Inactive
02:00:00,74,0,Inactive
02:01:00,73,0,Inactive
02:02:00,74,0,Inactive
02:03:00,79,0,Inactive
02:04:00,77,0,Inactive
02:05:00,76,0,Inactive
02:06:00,71,0,Inactive
02:07:00,78,0,Inactive
02:08:00,77,0,Inactive
02:09:00,68,0,Inactive
02:10:00,73,0,Inactive
02:11:00,71,0,Inactive
02:12:00,72,0,Inactive
02:13:00,74,0,Inactive
02:14:00,73,0,Inactive
02:15:00,71,0,Inactive
02:16:00,69,0,Inactive
02:17:00,70,0,Inactive
02:18:00,70,0,Inactive
02:19:00,69,0,Inactive
02:20:00,68,0,Inactive
02:21:00,80,0,Inactive
02:22:00,69,0,Inactive
02:23:00,64,0,Inactive
02:24:00,62,0,Inactive
02:25:00,62,0,Inactive
02:26:00,64,0,Inactive
02:27:00,63,0,Inactive
02:28:00,63,0,Inactive
02:29:00,63,0,Inactive
02:30:00,63,0,Inactive
02:31:00,63,0,Inactive
02:32:00,63,0,Inactive
02:33:00,62,0,Inactive
02:34:00,62,0,Inactive
02:35:00,64,0,Inactive
02:36:00,64,0,Inactive
02:37:00,63,0,Inactive
02:38:00,64,0,Inactive
02:39:00,64,0,Inactive
02:40:00,64,0,Inactive
02:41:00,64,0,Inactive
02:42:00,64,0,Inactive
02:43:00,63,0,Inactive
02:44:00,64,0,Inactive
02:45:00,64,0,Inactive
02:46:00,65,0,Inactive
02:47:00,64,0,Inactive
02:48:00,64,0,Inactive
02:49:00,64,0,Inactive
02:50:00,68,0,Inactive
02:51:00,67,0,Inactive
02:52:00,63,0,Inactive
02:53:00,64,0,Inactive
02:54:00,64,0,Inactive
02:55:00,65,0,Inactive
02:56:00,64,0,Inactive
02:57:00,65,0,Inactive
02:58:00,64,0,Inactive
02:59:00,65,0,Inactive
03:00:00,65,0,Inactive
03:01:00,65,0,Inactive
03:02:00,65,0,Inactive
03:03:00,72,0,Inactive
03:04:00,61,0,Inactive
03:05:00,64,0,Inactive
03:06:00,62,0,Inactive
03:07:00,64,0,Inactive
03:08:00,65,0,Inactive
03:09:00,66,0,Inactive
03:10:00,64,0,Inactive
03:11:00,68,0,Inactive
03:12:00,76,0,Inactive
03:13:00,63,0,Inactive
03:14:00,62,0,Inactive
03:15:00,62,0,Inactive
03:16:00,62,0,Inactive
03:17:00,63,0,Inactive
03:18:00,65,0,Inactive
03:19:00,66,0,Inactive
03:20:00,64,0,Inactive
03:21:00,66,0,Inactive
03:22:00,65,0,Inactive
03:23:00,64,0,Inactive
03:24:00,72,0,Inactive
03:25:00,62,0,Inactive
03:26:00,61,0,Inactive
03:27:00,64,0,Inactive
03:28:00,61,0,Inactive
03:29:00,62,0,Inactive
03:30:00,60,0,Inactive
03:31:00,62,0,Inactive
03:32:00,62,0,Inactive
03:33:00,63,0,Inactive
03:34:00,62,0,Inactive
03:35:00,62,0,Inactive
03:36:00,60,0,Inactive
03:37:00,61,0,Inactive
03:38:00,60,0,Inactive
03:39:00,62,0,Inactive
03:40:00,62,0,Inactive
03:41:00,60,0,Inactive
03:42:00,61,0,Inactive
03:43:00,61,0,Inactive
03:44:00,78,9,Inactive
03:45:00,64,0,Inactive
03:46:00,61,0,Inactive
03:47:00,60,0,Inactive
03:48:00,60,0,Inactive
03:49:00,59,0,Inactive
03:50:00,68,0,Inactive
03:51:00,57,0,Inactive
03:52:00,58,0,Inactive
03:53:00,59,0,Inactive
03:54:00,59,0,Inactive
03:55:00,58,0,Inactive
03:56:00,59,0,Inactive
03:57:00,59,0,Inactive
03:58:00,59,0,Inactive
03:59:00,59,0,Inactive
04:00:00,62,0,Inactive
04:01:00,59,0,Inactive
04:02:00,59,0,Inactive
04:03:00,59,0,Inactive
04:04:00,60,0,Inactive
04:05:00,61,0,Inactive
04:06:00,59,0,Inactive
04:07:00,60,0,Inactive
04:08:00,61,0,Inactive
04:09:00,61,0,Inactive
04:10:00,71,0,Inactive
04:11:00,58,0,Inactive
04:12:00,59,0,Inactive
04:13:00,59,0,Inactive
04:14:00,58,0,Inactive
04:15:00,60,0,Inactive
04:16:00,58,0,Inactive
04:17:00,58,0,Inactive
04:18:00,60,0,Inactive
04:19:00,58,0,Inactive
04:20:00,58,0,Inactive
04:21:00,58,0,Inactive
04:22:00,59,0,Inactive
04:23:00,59,0,Inactive
04:24:00,58,0,Inactive
04:25:00,58,0,Inactive
04:26:00,58,0,Inactive
04:27:00,58,0,Inactive
04:28:00,58,0,Inactive
04:29:00,67,0,Inactive
04:30:00,60,0,Inactive
04:31:00,58,0,Inactive
04:32:00,63,0,Inactive
04:33:00,64,0,Inactive
04:34:00,63,0,Inactive
04:35:00,61,0,Inactive
04:36:00,62,0,Inactive
04:37:00,59,0,Inactive
04:38:00,61,0,Inactive
04:39:00,58,0,Inactive
04:40:00,60,0,Inactive
04:41:00,68,7,Inactive
04:42:00,56,0,Inactive
04:43:00,70,0,Inactive
04:44:00,59,0,Inactive
04:45:00,62,0,Inactive
04:46:00,68,0,Inactive
04:47:00,59,0,Inactive
04:48:00,59,0,Inactive
04:49:00,57,0,Inactive
04:50:00,58,0,Inactive
04:51:00,57,0,Inactive
04:52:00,57,0,Inactive
04:53:00,59,0,Inactive
04:54:00,57,0,Inactive
04:55:00,57,0,Inactive
04:56:00,57,0,Inactive
04:57:00,57,0,Inactive
04:58:00,57,0,Inactive
04:59:00,58,0,Inactive
05:00:00,57,0,Inactive
05:01:00,57,0,Inactive
05:02:00,58,0,Inactive
05:03:00,58,0,Inactive
05:04:00,57,0,Inactive
05:05:00,58,0,Inactive
05:06:00,59,0,Inactive
05:07:00,59,0,Inactive
05:08:00,58,0,Inactive
05:09:00,59,0,Inactive
05:10:00,58,0,Inactive
05:11:00,59,0,Inactive
05:12:00,59,0,Inactive
05:13:00,60,0,Inactive
05:14:00,65,0,Inactive
05:15:00,64,0,Inactive
05:16:00,60,0,Inactive
05:17:00,59,0,Inactive
05:18:00,61,0,Inactive
05:19:00,59,0,Inactive
05:20:00,59,0,Inactive
05:21:00,59,0,Inactive
05:22:00,59,0,Inactive
05:23:00,60,0,Inactive
05:24:00,60,0,Inactive
05:25:00,59,0,Inactive
05:26:00,60,0,Inactive
05:27:00,69,0,Inactive
05:28:00,57,0,Inactive
05:29:00,60,0,Inactive
05:30:00,59,0,Inactive
05:31:00,60,0,Inactive
05:32:00,60,0,Inactive
05:33:00,61,0,Inactive
05:34:00,61,0,Inactive
05:35:00,62,0,Inactive
05:36:00,61,0,Inactive
05:37:00,60,0,Inactive
05:38:00,60,0,Inactive
05:39:00,61,0,Inactive
05:40:00,61,0,Inactive
05:41:00,61,0,Inactive
05:42:00,60,0,Inactive
05:43:00,60,0,Inactive
05:44:00,60,0,Inactive
05:45:00,60,0,Inactive
05:46:00,60,0,Inactive
05:47:00,60,0,Inactive
05:48:00,61,0,Inactive
05:49:00,72,0,Inactive
05:50:00,55,0,Inactive
05:51:00,67,0,Inactive
05:52:00,60,0,Inactive
05:53:00,59,0,Inactive
05:54:00,61,0,Inactive
05:55:00,63,0,Inactive
05:56:00,61,0,Inactive
05:57:00,66,0,Inactive
05:58:00,66,0,Inactive
05:59:00,55,0,Inactive
06:00:00,58,0,Inactive
06:01:00,63,0,Inactive
06:02:00,61,0,Inactive
06:03:00,59,0,Inactive
06:04:00,58,0,Inactive
06:05:00,61,0,Inactive
06:06:00,59,0,Inactive
06:07:00,62,0,Inactive
06:08:00,55,0,Inactive
06:09:00,68,0,Inactive
06:10:00,57,0,Inactive
06:11:00,58,0,Inactive
06:12:00,59,0,Inactive
06:13:00,62,0,Inactive
06:14:00,71,0,Inactive
06:15:00,59,0,Inactive
06:16:00,58,0,Inactive
06:17:00,58,0,Inactive
06:18:00,60,0,Inactive
06:19:00,59,0,Inactive
06:20:00,59,0,Inactive
06:21:00,59,0,Inactive
06:22:00,58,0,Inactive
06:23:00,58,0,Inactive
06:24:00,59,0,Inactive
06:25:00,59,0,Inactive
06:26:00,60,0,Inactive
06:27:00,60,0,Inactive
06:28:00,61,0,Inactive
06:29:00,61,0,Inactive
06:30:00,66,0,Inactive
06:31:00,57,0,Inactive
06:32:00,59,0,Inactive
06:33:00,58,0,Inactive
06:34:00,59,0,Inactive
06:35:00,59,0,Inactive
06:36:00,58,0,Inactive
06:37:00,60,0,Inactive
06:38:00,58,0,Inactive
06:39:00,58,0,Inactive
06:40:00,58,0,Inactive
06:41:00,60,0,Inactive
06:42:00,60,0,Inactive
06:43:00,59,0,Inactive
06:44:00,65,0,Inactive
06:45:00,64,0,Inactive
06:46:00,56,0,Inactive
06:47:00,56,0,Inactive
06:48:00,56,0,Inactive
06:49:00,56,0,Inactive
06:50:00,66,0,Inactive
06:51:00,58,0,Inactive
06:52:00,58,0,Inactive
06:53:00,59,0,Inactive
06:54:00,106,16,Inactive
06:55:00,94,4,Inactive
06:56:00,88,23,Inactive
06:57:00,95,56,Inactive
06:58:00,88,35,Inactive
06:59:00,90,33,Inactive
07:00:00,90,35,Inactive
07:01:00,94,40,Inactive
07:02:00,91,34,Inactive
07:03:00,86,17,Inactive
07:04:00,91,48,Inactive
07:05:00,74,0,Inactive
07:06:00,72,0,Inactive
07:07:00,73,0,Inactive
07:08:00,71,0,Inactive
07:09:00,72,0,Inactive
07:10:00,75,0,Inactive
07:11:00,74,0,Inactive
07:12:00,80,29,Inactive
07:13:00,97,111,Active
07:14:00,100,68,Active
07:15:00,93,52,Inactive
07:16:00,85,18,Inactive
07:17:00,81,21,Inactive
07:18:00,90,18,Inactive
07:19:00,92,29,Inactive
07:20:00,85,23,Inactive
07:21:00,86,15,Inactive
07:22:00,85,21,Inactive
07:23:00,86,0,Inactive
07:24:00,86,21,Inactive
07:25:00,91,51,Inactive
07:26:00,90,61,Active
07:27:00,88,30,Inactive
07:28:00,95,78,Active
07:29:00,100,100,Active
07:30:00,79,3,Inactive
07:31:00,74,0,Inactive
07:32:00,73,0,Inactive
07:33:00,73,0,Inactive
07:34:00,75,0,Inactive
07:35:00,81,9,Inactive
07:36:00,99,86,Active
07:37:00,111,106,Active
07:38:00,99,38,Inactive
